clasificacion;descripcion;DESCRIPCION_LARGA||'XX'
ENFERMEDAD REUMATICA CARDIACA CRONICA ( I05-I09);OTRAS ENFERMEDADES REUMATICAS DE LA VALVULA TRICUSPIDE;I07.8 / Otras enfermedades reumáticas de la válvula tricúspideXx
ENFERMEDAD REUMATICA CARDIACA CRONICA ( I05-I09);OTRAS ENFERMEDADES DE VARIAS VALVULAS ESPECIFICADAS;I08.8 / Otras enfermedades de varias válvulas especificadasXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otros trastornos de la trompa de Eustaquio;H69  / Otros trastornos de la trompa de EustaquioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );DISTENSION DE LA TROMPA DE EUSTAQUIO;H69.0  / Distensión de la trompa de EustaquioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otros trastornos especificados de la trompa de Eustaquio;H69.8  / Otros trastornos especificados de la trompa de EustaquioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Trastorno de la trompa de Eustaquio, no especificado;H69.9 / Trastorno de la trompa de Eustaquio, no especificadoXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Mastoiditis y afecciones relacionadas;H70 / Mastoiditis y afecciones relacionadasXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Mastoiditis aguda;H70.0  / Mastoiditis agudaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );MASTOIDITIS CRONICA;H70.1 / Mastoiditis crónicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Petrositis;H70.2 / PetrositisXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otras mastoiditis y afecciones relacionadas;H70.8 / Otras mastoiditis y afecciones relacionadasXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Mastoiditis, no especificada;H70.9 / Mastoiditis, no especificadaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );COLESTEATOMA DEL OIDO MEDIO;H71  / Colesteatoma del oído medioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );PERFORACION DE LA MEMBRANA TIMPANICA;H72  / Perforación de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );PERFORACION CENTRAL DE LA MEMBRANA TIMPANICA;H72.0  / Perforación central de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );PERFORACION TICA DE LA MEMBRANA TIMPANICA;H72.1 / Perforación tica de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTRAS PERFORACIONES MARGINALES DE LA MEMBRANA TIMPANICA;H72.2 / Otras perforaciones marginales de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTRAS PERFORACIONES DE LA MEMBRANA TIMPANICA;H72.8 / Otras perforaciones de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );PERFORACION DE LA MEMBRANA TIMPANICA, SIN OTRA ESPECIFICACION;H72.9  / Perforación de la membrana timpánica, sin otra especificaciónXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTROS TRASTORNOS DE LA MEMBRANA TIMPANICA;H73 / Otros trastornos de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Miringitis aguda;H73.0 / Miringitis agudaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );MIRINGITIS CRONICA;H73.1 / Miringitis crónicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTROS TRASTORNOS ESPECIFICADOS DE LA MEMBRANA TIMPANICA;H73.8  / Otros trastornos especificados de la membrana timpánicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );TRASTORNO DE LA MEMBRANA TIMPANICA, NO ESPECIFICADO;H73.9  / Trastorno de la membrana timpánica, no especificadoXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES;H74 / Otros trastornos del oído medio y de la apófisis mastoidesXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Timpanosclerosis;H74.0 / TimpanosclerosisXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );ENFERMEDAD ADHESIVA DEL OIDO MEDIO;H74.1  / Enfermedad adhesiva del oído medioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );DISCONTINUIDAD Y DISLOCACION DE LOS HUESECILLOS DEL OIDO;H74.2  / Discontinuidad y dislocación de los huesecillos del oídoXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTRAS ANORMALIDADES ADQUIRIDAS DE LOS HUESECILLOS DEL OIDO;H74.3 / Otras anormalidades adquiridas de los huesecillos del oídoXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );POLIPO DEL OIDO MEDIO;H74.4 / Pólipo del oído medioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTROS TRASTORNOS ESPECIFICADOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES;H74.8  / Otros trastornos especificados del oído medio y de la apófisis mastoidesXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );TRASTORNO DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES, NO ESPECIFICADO;H74.9  / Trastorno del oído medio y de la apófisis mastoides, no especificadoXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H75 / Otros trastornos del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Mastoiditis en enfermedades infecciosas y parasitarias clasificadas en otra parte;H75.0 / Mastoiditis en enfermedades infecciosas y parasitarias clasificadas en otra parteXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTROS TRASTORNOS ESPECIFICADOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H75.8 / Otros trastornos especificados del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Otosclerosis ;H80 / Otosclerosis Xx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Otosclerosis que afecta la ventana oval, no obliterante;H80.0 / Otosclerosis que afecta la ventana oval, no obliteranteXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Otosclerosis que afecta la ventana oval, obliterante;H80.1 / Otosclerosis que afecta la ventana oval, obliteranteXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Otosclerosis coclear;H80.2  / Otosclerosis coclearXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Otras otosclerosis;H80.8 / Otras otosclerosisXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Otosclerosis, no especificada ;H80.9  / Otosclerosis, no especificada Xx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );ENFERMEDAD DE MENIERE;H81.0 / Enfermedad de MénièreXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );VERTIGO PAROXISTICO BENIGNO;H81.1  / Vértigo paroxístico benignoXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Neuronitis vestibular;H81.2  / Neuronitis vestibularXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );VERTIGO DE ORIGEN CENTRAL;H81.4 / Vértigo de origen centralXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );DISFUNCION DEL LABERINTO;H83.2  / Disfunción del laberintoXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );EFECTOS DEL RUIDO SOBRE EL OIDO INTERNO;H83.3 / Efectos del ruido sobre el oído internoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Hipoacusia conductiva bilateral;H90.0 / Hipoacusia conductiva bilateralXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Otras hipoacusias ;H91 / Otras hipoacusias Xx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Otras hipoacusias especificadas;H91.8 / Otras hipoacusias especificadasXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );OTALGIA Y SECRECION DEL OIDO;H92  / Otalgia y secreción del oídoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Otalgia;H92.0  / OtalgiaXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Otorrea;H92.1 / OtorreaXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Otorragia ;H92.2  / Otorragia Xx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Otras percepciones auditivas anormales;H93.2 / Otras percepciones auditivas anormalesXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Trastornos del ojo y sus anexos consecutivos a procedimientos, no clasificados en otra parte;H59 / Trastornos del ojo y sus anexos consecutivos a procedimientos, no clasificados en otra parteXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );SINDROME VITREO CONSECUTIVO A CIRUGIA DE CATARATA;H59.0  / Sindrome vitreo consecutivo a cirugia de catarataXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Otros trastornos del ojo y sus anexos, consecutivos a procedimientos;H59.8 / Otros trastornos del ojo y sus anexos, consecutivos a procedimientosXx
OTROS TRASTORNOS DE LA VISTA Y ORGANOS ANEXOS (H55-H59 );Trastorno no especificado del ojo y sus anexos, consecutivo a procedimientos;H59.9  / Trastorno no especificado del ojo y sus anexos, consecutivo a procedimientosXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa;H60  / Otitis externaXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );ABSCESO DEL OIDO EXTERNO;H60.0  / Absceso del oido externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );CELULITIS DEL OIDO EXTERNO;H60.1  / Celulitis del oido externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa maligna;H60.2 / Otitis externa malignaXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otras otitis externas infecciosas;H60.3 / Otras otitis externas infecciosasXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );COLESTEATOMA DEL OIDO EXTERNO;H60.4  / Colesteatoma del oído externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa aguda, no infecciosa;H60.5  / Otitis externa aguda, no infecciosaXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otras otitis externas;H60.8  / Otras otitis externasXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );OTITIS EXTERNA, SIN OTRA ESPECIFICACION;H60.9 / Otitis externa, sin otra especificaciónXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );OTROS TRASTORNOS DEL OIDO EXTERNO;H61  / Otros trastornos del oído externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );PERICONDRITIS DEL OIDO EXTERNO;H61.0  / Pericondritis del oído externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );AFECCIONES NO INFECCIOSAS DEL PABELLON AUDITIVO;H61.1 / Afecciones no infecciosas del pabellón auditivoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Cerumen impactado;H61.2  / Cerumen impactadoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Estenosis adquirida del conducto auditivo externo;H61.3  / Estenosis adquirida del conducto auditivo externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );OTROS TRASTORNOS ESPECIFICADOS DEL OIDO EXTERNO;H61.8  / Otros trastornos especificados del oído externoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );TRASTORNO DEL OIDO EXTERNO, NO ESPECIFICADO;H61.9  / Trastorno del oído externo, no especificadoXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );TRASTORNOS DEL OIDO EXTERNO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H62 / Trastornos del oído externo en enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa en enfermedades bacterianas clasificadas en otra parte;H62.0 / Otitis externa en enfermedades bacterianas clasificadas en otra parteXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa en enfermedades virales clasificadas en otra parte;H62.1 / Otitis externa en enfermedades virales clasificadas en otra parteXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa en micosis;H62.2 / Otitis externa en micosisXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa en otras enfermedades infecciosas y parasitarias clasificadas en otra parte;H62.3 / Otitis externa en otras enfermedades infecciosas y parasitarias clasificadas en otra parteXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );Otitis externa en otras enfermedades clasificadas en otra parte;H62.4 / Otitis externa en otras enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO EXTERNO (H60-H62 );OTROS TRASTORNOS DEL OIDO EXTERNO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H62.8 / Otros trastornos del oído externo en enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media no supurativa;H65 / Otitis media no supurativaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media aguda serosa;H65.0  / Otitis media aguda serosaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otra otitis media aguda, no supurativa;H65.1  / Otra otitis media aguda, no supurativaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTITIS MEDIA CRONICA SEROSA;H65.2 / Otitis media crónica serosaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTITIS MEDIA CRONICA MUCOIDE;H65.3 / Otitis media crónica mucoideXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTRAS OTITIS MEDIAS CRONICAS NO SUPURATIVAS;H65.4 / Otras otitis medias crónicas no supurativasXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTITIS MEDIA NO SUPURATIVA, SIN OTRA ESPECIFICACION;H65.9  / Otitis media no supurativa, sin otra especificaciónXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media supurativa y la no especificada;H66 / Otitis media supurativa y la no especificadaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media supurativa aguda;H66.0 / Otitis media supurativa agudaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTITIS MEDIA TUBOTIMPANICA SUPURATIVA CRONICA;H66.1  / Otitis media tubotimpánica supurativa crónicaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTITIS MEDIA SUPURATIVA CRONICA ATICOANTRAL;H66.2  / Otitis media supurativa crónica aticoantralXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTRAS OTITIS MEDIAS CRONICAS SUPURATIVAS;H66.3 / Otras otitis medias crónicas supurativasXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OTITIS MEDIA SUPURATIVA, SIN OTRA ESPECIFICACION;H66.4 / Otitis media supurativa, sin otra especificaciónXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media, no especificada;H66.9 / Otitis media, no especificadaXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );Trastornos de la corteza visual;H47.6  / Trastornos de la corteza visualXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media en enfermedades clasificadas en otra parte;H67 / Otitis media en enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media en enfermedades bacterianas clasificadas en otra parte;H67.0 / Otitis media en enfermedades bacterianas clasificadas en otra parteXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media en enfermedades virales clasificadas en otra parte;H67.1 / Otitis media en enfermedades virales clasificadas en otra parteXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Otitis media en otras enfermedades clasificadas en otra part;H67.8 / Otitis media en otras enfermedades clasificadas en otra partXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );INFLAMACION Y OBSTRUCCION DE LA TROMPA DE EUSTAQUIO;H68  / Inflamación y obstrucción de la trompa de EustaquioXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );Salpingitis eustaquiana;H68.0  / Salpingitis eustaquianaXx
ENFERMEDADES DEL OIDO MEDIO (H65-H75 );OBSTRUCCION DE LA TROMPA DE EUSTAQUIO;H68.1 / Obstrucción de la trompa de EustaquioXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Estrabismo concomitante convergente;H50.0 / Estrabismo concomitante convergenteXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Estrabismo concomitante divergente;H50.1 / Estrabismo concomitante divergenteXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Estrabismo vertical;H50.2 / Estrabismo verticalXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );ESTRABISMO MECANICO;H50.6 / Estrabismo mecánicoXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Estrabismo, no especificado;H50.9 / Estrabismo, no especificadoXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Otros trastornos de los movimientos binoculares;H51  / Otros trastornos de los movimientos binocularesXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );PARALISIS DE LA CONJUGACION DE LA MIRADA;H51.0  / Parálisis de la conjugación de la miradaXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Exceso e insuficiencia de la convergencia ocular;H51.1 / Exceso e insuficiencia de la convergencia ocularXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Otros trastornos especificados de los movimientos binoculares;H51.8 / Otros trastornos especificados de los movimientos binocularesXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Trastorno del movimiento binocular, no especificado;H51.9  / Trastorno del movimiento binocular, no especificadoXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION;H52  / Trastornos de la acomodación y de la refracciónXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );MIOPIA;H52.1  / MiopíaXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Astigmatismo;H52.2  / AstigmatismoXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );Presbicia;H52.4 / PresbiciaXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );TRASTORNOS DE LA ACOMODACION;H52.5  / Trastornos de la acomodaciónXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );OTROS TRASTORNOS DE LA REFRACCION;H52.6  / Otros trastornos de la refracciónXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );TRASTORNO DE LA REFRACCION, NO ESPECIFICADO;H52.7  / Trastorno de la refracción, no especificadoXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );ALTERACIONES DE LA VISION;H53 / Alteraciones de la visiónXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );AMBLIOPIA EX ANOPSIA;H53.0 / Ambliopía ex anopsiaXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );Alteraciones visuales subjetivas;H53.1 / Alteraciones visuales subjetivasXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );DIPLOPIA;H53.2 / DiplopíaXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );OTROS TRASTORNOS DE LA VISION BINOCULAR;H53.3  / Otros trastornos de la visión binocularXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );Defectos del campo visual;H53.4  / Defectos del campo visualXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );DEFICIENCIA DE LA VISION CROMATICA;H53.5  / Deficiencia de la visión cromáticaXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );Ceguera nocturna;H53.6 / Ceguera nocturnaXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );Otras alteraciones visuales;H53.8 / Otras alteraciones visualesXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );ALTERACION VISUAL, NO ESPECIFICADA;H53.9  / Alteración visual, no especificadaXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );CEGUERA Y DISMINUCION DE LA AGUDEZA VISUAL;H54  / Ceguera y disminución de la agudeza visualXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );Ceguera de ambos ojos;H54.0 / Ceguera de ambos ojosXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );CEGUERA DE UN OJO, VISION SUBNORMAL DEL OTRO;H54.1 / Ceguera de un ojo, visión subnormal del otroXx
ALTERACIONES DE LA VISION Y CEGUERA (H53-H54 );VISION SUBNORMAL DE AMBOS OJOS;H54.2 / Visión subnormal de ambos ojosXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );OFTALMOPLEJIA INTERNUCLEAR;H51.2  / Oftalmoplejía internuclearXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );HIPERMETROPIA;H52.0 / HipermetropíaXx
AFECCIONES DE LOS MÚSCULOS OCULARES POR DEFECTOS DE ACOMODACION O REFRACCIÓN (H49-H52 );ANISOMETROPIA Y ANISEICONIA;H52.3  / Anisometropía y aniseiconíaXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );OTROS TRASTORNOS DEL NERVIO OPTICO [II PAR] Y DE LAS VIAS OPTICAS;H47 / Otros trastornos del nervio óptico [II par] y de las vías ópticasXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );TRASTORNOS DEL NERVIO OPTICO, NO CLASIFICADOS EN OTRA PARTE;H47.0 / Trastornos del nervio óptico, no clasificados en otra parteXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );Papiledema, no especificado;H47.1  / Papiledema, no especificadoXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );ATROFIA OPTICA;H47.2 / Atrofia ópticaXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );OTROS TRASTORNOS DEL DISCO OPTICO;H47.3  / Otros trastornos del disco ópticoXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );TRASTORNOS DEL QUIASMA OPTICO;H47.4  / Trastornos del quiasma ópticoXx
AFECCIONES DE LOS NERVIOS Y VÍAS OPTICAS (H46-H48 );TRASTORNOS DE OTRAS VIAS OPTICAS;H47.5  / Trastornos de otras vías ópticasXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Neuritis del nervio auditivo en enfermedades infecciosas y parasitarias clasificadas en otra parte;H94.0  / Neuritis del nervio auditivo en enfermedades infecciosas y parasitarias clasificadas en otra parteXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );TRASTORNOS DE LA FUNCION VESTIBULAR;H81 / Trastornos de la función vestibularXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );OTROS VERTIGOS PERIFERICOS;H81.3 / Otros vértigos periféricosXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );OTROS TRASTORNOS DE LA FUNCION VESTIBULAR;H81.8 / Otros trastornos de la función vestibularXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );TRASTORNO DE LA FUNCION VESTIBULAR, NO ESPECIFICADO;H81.9  / Trastorno de la función vestibular, no especificadoXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );SX VERTIGINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;H82* / Síndromes vertiginosos en enfermedades clasificadas en otra parteXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );OTROS TRASTORNOS DEL OIDO INTERNO;H83  / Otros trastornos del oído internoXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );Laberintitis;H83.0 / LaberintitisXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );OTROS TRASTORNOS ESPECIFICADOS DEL OIDO INTERNO;H83.8 / Otros trastornos especificados del oído internoXx
ENFERMEDADES DEL OIDO INTERNO ( H80-H83 );TRASTORNO DEL OIDO INTERNO, NO ESPECIFICADO;H83.9  / Trastorno del oído interno, no especificadoXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Hipoacusia conductiva y neurosensorial ;H90 / Hipoacusia conductiva y neurosensorial Xx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA CONDUCTIVA, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL;H90.1  / Hipoacusia conductiva, unilateral con audición irrestricta contralateralXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA CONDUCTIVA, SIN OTRA ESPECIFICACION;H90.2  / Hipoacusia conductiva, sin otra especificaciónXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Hipoacusia neurosensorial, bilateral;H90.3 / Hipoacusia neurosensorial, bilateralXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA NEUROSENSORIAL, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL;H90.4 / Hipoacusia neurosensorial, unilateral con audición irrestricta contralateralXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA NEUROSENSORIAL, SIN OTRA ESPECIFICACION;H90.5 / Hipoacusia neurosensorial, sin otra especificaciónXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Hipoacusia mixta conductiva y neurosensorial, bilateral;H90.6 / Hipoacusia mixta conductiva y neurosensorial, bilateralXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA MIXTA CONDUCTIVA Y NEUROSENSORIAL, UNILATERAL CON AUDICION IRRESTRICTA CONTRALATERAL;H90.7 / Hipoacusia mixta conductiva y neurosensorial, unilateral con audición irrestricta contralateralXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Hipoacusia mixta conductiva y neurosensorial, no especificada ;H90.8  / Hipoacusia mixta conductiva y neurosensorial, no especificada Xx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );HIPOACUSIA OTOTOXICA;H91.0 / Hipoacusia ototóxicaXx
OTRAS ENFERMEDADES DEL OIDO ( H90-H95 );Presbiacusia;H91.1 / PresbiacusiaXx
